iter	Logloss
0	0.5401557682
1	0.4742320763
2	0.454671625
3	0.4435343926
4	0.4351694472
5	0.4296615202
6	0.4262364327
7	0.4211359775
8	0.4187523679
9	0.4139407638
10	0.4121897505
11	0.4065006104
12	0.4031161028
13	0.3997116288
14	0.3966276258
15	0.3937364544
16	0.3921684651
17	0.3913433211
18	0.3890470519
19	0.3874222693
20	0.3865707736
21	0.3858184433
22	0.3808276985
23	0.3803152538
24	0.3798855923
25	0.379453703
26	0.3769848912
27	0.3766556625
28	0.3763491937
29	0.3760069332
30	0.3745259248
31	0.3719627336
32	0.3715922128
33	0.371201356
34	0.3709330665
35	0.3705743975
36	0.370348291
37	0.3700234468
38	0.3697135182
39	0.3695311415
40	0.3685225342
41	0.3683417698
42	0.3681661526
43	0.3680083209
44	0.3678128638
45	0.3676408935
46	0.3670120717
47	0.3662022373
48	0.3660718148
49	0.3659332354
50	0.3657832459
51	0.3637775998
52	0.3636525575
53	0.3635171318
54	0.3633637456
55	0.3632526368
56	0.3631646109
57	0.3630727934
58	0.3629487361
59	0.3628719807
60	0.3627423302
61	0.3626344916
62	0.3625459188
63	0.3624416914
64	0.3623422947
65	0.3622398139
66	0.3621638342
67	0.3620788687
68	0.362010483
69	0.3619210038
70	0.3613121598
71	0.3606895007
72	0.3605794119
73	0.3604996867
74	0.3604276021
75	0.3603233943
76	0.3602476155
77	0.3601546992
78	0.360095019
79	0.3599917957
80	0.3599265485
81	0.359860612
82	0.3595778226
83	0.3594987
84	0.359414564
85	0.3593458287
86	0.3592531129
87	0.3584978464
88	0.3584041767
89	0.3583336279
90	0.3582495489
91	0.3581534525
92	0.3581066421
93	0.3580250702
94	0.3579675377
95	0.3578745399
96	0.3578242514
97	0.3577571163
98	0.3576850687
99	0.3576012836
100	0.3575310787
101	0.3574538426
102	0.3571217689
103	0.3565155113
104	0.356452558
105	0.3560569909
106	0.355979322
107	0.3558983107
108	0.3558333848
109	0.3557356495
110	0.3556551664
111	0.3555794202
112	0.3554933307
113	0.3554443466
114	0.3551491345
115	0.3550580896
116	0.3549805221
117	0.3548872858
118	0.3548166957
119	0.3547503351
120	0.3546796636
121	0.354602726
122	0.3545155271
123	0.3544664581
124	0.3543920321
125	0.3534211435
126	0.3533216465
127	0.3532294462
128	0.3531393268
129	0.3530755207
130	0.3529985075
131	0.3529425335
132	0.3528740486
133	0.3527861319
134	0.352700557
135	0.352630728
136	0.3525464106
137	0.3524573752
138	0.3523821724
139	0.3523189563
140	0.351506749
141	0.3513946383
142	0.3513031769
143	0.3512333011
144	0.3511698625
145	0.3510882783
146	0.3510085912
147	0.3509532082
148	0.3508895786
149	0.3508073856
150	0.3507493655
151	0.3506789026
152	0.3506178746
153	0.3505492018
154	0.3504832907
155	0.3503789413
156	0.3503130892
157	0.3502533674
158	0.3501921412
159	0.3495255078
160	0.3494636942
161	0.3493923849
162	0.3493146195
163	0.3492447607
164	0.3492050595
165	0.3491417492
166	0.3490944872
167	0.3490416607
168	0.3489657845
169	0.348898565
170	0.3488590209
171	0.3487888314
172	0.3487255139
173	0.3486724041
174	0.3486118112
175	0.3485525518
176	0.3484989486
177	0.3484329443
178	0.348363078
179	0.34831476
180	0.3482552619
181	0.3482081069
182	0.3481429479
183	0.3480665891
184	0.347957291
185	0.347765385
