iter	Logloss
0	0.561992683
1	0.4963653861
2	0.4672973606
3	0.4474985011
4	0.4410143961
5	0.4306730352
6	0.4237949616
7	0.4188621323
8	0.4159869373
9	0.4105041922
10	0.4069439809
11	0.4037732462
12	0.4006048898
13	0.3990175506
14	0.395296215
15	0.3915469832
16	0.3896499573
17	0.387551107
18	0.3867112066
19	0.3824428375
20	0.3818507325
21	0.3780456275
22	0.3765205664
23	0.3758858085
24	0.375458584
25	0.3750048228
26	0.3741707473
27	0.3737915556
28	0.37171315
29	0.3706323347
30	0.3697417991
31	0.368988766
32	0.3681864118
33	0.3679194986
34	0.3676455235
35	0.3674161817
36	0.3672194526
37	0.3669559932
38	0.3667408609
39	0.3665307319
40	0.3597849629
41	0.3595986027
42	0.3594369125
43	0.3592341767
44	0.3589966326
45	0.3588441782
46	0.3586689936
47	0.3584832337
48	0.3582660522
49	0.3581300891
50	0.3579636183
51	0.357800612
52	0.3576386946
53	0.3575091823
54	0.357316781
55	0.357107124
56	0.3570675087
57	0.3569439252
58	0.3567844906
59	0.3566875404
60	0.3565544999
61	0.3564900096
62	0.3563141434
63	0.3561606508
64	0.3560454107
65	0.3559049678
66	0.3556662146
67	0.3555067231
68	0.3554363527
69	0.355358957
70	0.3552283972
71	0.3550873301
72	0.3549823086
73	0.3548770162
74	0.3547271671
75	0.3545885952
76	0.3544695987
77	0.3544138344
78	0.3543247366
79	0.3542504279
80	0.3541609045
81	0.3539998131
82	0.3538892769
83	0.3536395
84	0.3535748366
85	0.353429766
86	0.3533354189
87	0.3532382109
88	0.3531462261
89	0.353035626
90	0.3529097015
91	0.3527740355
92	0.3526770322
93	0.3524053549
94	0.3522530391
95	0.3519465557
96	0.3517990953
97	0.3516284666
98	0.3515165937
99	0.3513774486
100	0.3512413573
101	0.3511441455
102	0.3510412478
103	0.3509707787
104	0.35082439
105	0.3506877149
106	0.350547283
107	0.3504084701
108	0.3502816978
109	0.3502119462
110	0.3501068092
111	0.3500024585
112	0.3499219476
113	0.3498691355
114	0.3497549885
115	0.3495540696
116	0.3494430417
117	0.3493620072
118	0.3491752869
119	0.3490764558
120	0.3490118759
121	0.3488972439
122	0.3487280657
123	0.3485982612
124	0.3484881915
125	0.3483336758
126	0.3481591494
127	0.3480305299
128	0.3479433036
129	0.347843161
130	0.3451475483
131	0.345028396
132	0.3449207361
133	0.3447861749
134	0.3446909054
135	0.3446129549
136	0.3445358114
137	0.3444248078
138	0.3442774084
139	0.3441373143
140	0.3439857901
141	0.343859121
142	0.343764586
143	0.3436518625
144	0.3435327094
145	0.3433627501
146	0.3432572556
147	0.3431589888
148	0.3430438802
149	0.3429162327
150	0.3428088497
151	0.3426235638
152	0.342465615
153	0.3423508175
154	0.3422667634
155	0.3421648774
156	0.3420566767
157	0.3419131487
158	0.3417995381
159	0.3417027709
160	0.3415443772
161	0.341422121
162	0.3412812492
163	0.3411393585
164	0.3410197098
165	0.3408857507
166	0.3407484736
167	0.3406337925
168	0.3405196544
169	0.340400027
170	0.3402471421
171	0.3400905072
172	0.3399659214
173	0.3398544838
174	0.3397543004
175	0.3396146907
176	0.3395185991
177	0.3393688422
178	0.3392795668
179	0.339160218
180	0.3390430938
181	0.3389320971
182	0.3388736724
183	0.3387322515
184	0.3386433607
185	0.3385296875
186	0.338417886
187	0.3383136551
188	0.3382004388
189	0.338063541
190	0.3379879521
191	0.3378680815
192	0.3377737889
193	0.3376395516
194	0.3375109874
195	0.337384528
196	0.337271259
197	0.3371638047
198	0.3370058137
199	0.3369212228
